1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Dóczi Barna egyéni vállalkozó,4402,"8200 Veszprém, Alsóújsor u. 4.",Dabis István János,12119,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dóczi János Autósiskolája Bt.,3281,"6600 Szentes, Brusznyai Árpád stny. 5. fszt.7.",Dóczi Károly,10295,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dombai Norbert ev. ""V.I.P. Autósiskola""",7405,"2890 Tata, Május 1. u. 23. 4/4.",Dombai Norbert,11666,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DÖMÖTÖR Autósiskola Oktatási, Kereskedelmi és Szolgáltató Kft",4052,"7570 Barcs, Köztársasá g utca 2. 1. em. 7.",Dömötör László,10301,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dömötör László egyéni vállalkozó,3637,"7570 Barcs, Köztársasá g u. 2. I/7.",Dömötör László,10301,x,x,,x,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
Dr. Barcsa Lajos egyéni vállalkozó,3466,"4024 Debrecen, Szent Anna u. 45/C.",Dr Barcsa Lajos,10096,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Bodor Kinga egyéni vállalkozó ev. ""KingMed Autósiskola""",4080,"7621 Pécs, Citrom u. 2- 6.",Hara Zsolt István,10493,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Szabó József Gergely ev. ""Árvai & Gery Autósiskola""",4009,"3526 Miskolc, Szeles u. 49.",dr Szabó József Gergely,12410,x,x/elm .,x/el m.,x,x,x/elm.,,,x/elm .,x/elm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Törökné Kerekes Ottilia ev.""K+HVSZ Autósiskola""",9522,"6800 Hódmezővá sárhely, Szabadság tér 59.",Dr Törökné Kerekes Ottilia,11468,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRÁVAMENTE Oktató Kft.,9947,"7570 Barcs, Mező u. 7.",Bonevácz Tamás,10176,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drive-Life Korlátolt Felelősségű Társaság,4951,"8000 Székesfehé rvár, Táncsics Mihály utca 5. mz 12. ajtó",Szűcs Szabolcs András,12324,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIVER-HOOD Kft.,9949,"6800 Hódmezővá sárhely, Dr. Rapcsák A. u. 20.",Csikós Sándor,10244,x,x,x,x,x,x,,,x,x,,,x,,,x,,x,x,,,x,,,x,x,x,x,x,x,,,,,x,x,,,
Drozdik Sándor egyéni vállalkozó,619,"2360 Gyál, Pozsonyi u. 62.",Drozdik Sándor,10306,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DULICSEK Autósiskola Kft.,9997,"6100 Kiskunféleg yháza, Béke tér 9682.",Fehér Katalin,11589,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duna András egyéni vállalkozó,4390,"5900 Orosháza, Kórház u. 16. 4/2",Duna András,12109,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duna Gépjárművezető -képző Oktatói KKT,3741,"7030 Paks, Gagarin u. 2.",Leveles János,10867,x,x,x,x,x,x,,,x,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
Duna Zsolt egyéni vállalkozó,4397,"5666 Medgyeseg yháza, Baross u. 39",Duna Zsolt,10310,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNAGÁZ Gázipari Oktatási és Minősítő Zrt.,8007,"2510 Dorog, Gorkij u. 37.",Friedman n Róbert Tibor,12018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,
"Dzsula József ev ""Dzsula Autósiskola""",4344,"1108 Budapest, Zsombék u. 42. 10/63.",dr. Schuszter né Vörös Andrea Rozália,11226,,,,,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUCAR Oktató Centrum Bt.,3668,"4400 Nyíregyház a, Szarvas út 48.",Lengyelné Várdai Katalin,10860,x,x,x,x,x,x,,,x,x,,,x,,x,x,,x,x,,x,x,x,x,x,x,,,x,x,,x,,,,x,x,x,
"Educational Center Oktatásszervező , Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság",4378,"1135 Budapest, Mohács utca 8/B 4. em. 5.",Osváth István,11066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
E-EDUCATIO Zrt.,9342,"1111 Budapest, Budafoki út 59.",Hoffmann Csaba Péter,11576,x,x,x,x,x,x,,,x,x,x,,x,,,x/elm .,,x,,,,x,,,,,,,,,,,,,,,,,
Éjszakai Bagoly Autós és Motoros Iskola Járművezető- oktató Egyéni cég,160,"1023 Budapest, Árpád fejedelm útja 26-28.",Deák Éva Mária,10266,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-LENZ Autósiskola Zrt.,9933,"4400 Nyíregyház a, Kossuth u. 48.",Lengyel Zoltán Sándor,10859,x,x,x,x,x,x,,,x,x,,,x,,x,x,,x,x,,x,x,x,x,x,x,,,x,x,,,,,,x,x,x,
Előzni tilos Gépjárműoktató Kft.,7511,"4220 Hajdúböszö rmény,Kisb öszörményi u. 12.",Simon Vince László,11238,x,x,x,x,x,,,,x,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
"ELYSIUM Invest Ingatlankezelő Kft ""Readygo Autósiskola""",4216,"1098 Budapest, Dési Huber utca 32. 1. em. 4.",Donaberg er József,10297,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBERKÉPZÉS Kft.,9500,"9700 Szombathel y, Kötő u. 37.",Tóth Andrea,12451,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,x,,,
ÉMI-TÜV SÜD Kft.,4231,"2000 Szentendre, Dózsa György út 26.",Tóth Tibor,11455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
"Engedi Zsoltné ev ""Engedi Autósiskola""",4287,"6900 Makó, Fűtő u. 13.",Engedi Zsoltné,12032,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enyediné Lux Beatrix egy.vállalk. ""Lux Autósiskola""",3198,"5820 Mezőhegye s, Váci M. u. 6.",Enyediné Lux Beatrix,10318,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enyingi István egyéni vállalkozó,3840,"8417 Csetény, Jókai u. 12/A.",Enyingi István,10319,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eötvös József Református Oktatási Központ - Óvoda, Általános Iskola, Gimnázium, Technikum, Szakképző Iskola és Alapfokú Művészeti Iskola",3483,"3360 Heves, Dobó út 29.",Major László,11971,x,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Eötvös Loránd Műszaki Szakközépiskola,9635,"7400 Kaposvár, Pázmány P. u. 17.",Kalmár Lajos,10623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Erdei Éva egyéni vállalkozó,4200,"4200 Hajdúszobo szló, Árpád u. 61.",Erdei Éva,12108,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erdei Gábor egyéni vállalkozó,3465,"4242 Hajdúhadhá z, Vértanuk u. 5.",Erdei Gábor,10321,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Érdi Négy Kerék- N Szolgáltató Bt.,203,"2030 Érd, Boróka u. 38.",Kerekes András György,10667,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ERZO Oktató és Szolgáltató Kft.""Lenkó Autós-suli""",9842,"3793 Sajóecseg, Rákóczi út 15.",Lenkó Zoltán,11639,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Északi Agrárszakképzé si Centrum Baross László Mezőgazdasági Technikum, Szakképző Iskola és Kollégium",3652,"4700 Mátészalka, Baross László u. 12-14.",Badar István,10046,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
"Északi Agrárszakképzé si Centrum Mátra Erdészeti Technikum, Szakképző Iskola és Kollégium",4079,"3232 Mátrafüred, Erdész utca 11.",Lenkei Gyula,10862,,,,,x/elm .,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Északi Agrárszakképzé si Centrum Vay Ádám Mezőgazdasági Szakképző Iskola és Kollégium,3651,"4561 Baktalóránt háza, Naményi út 7.",Kicska Gábor Zoltán,12246,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
"Északi ASzC Bárczay János Mezőgazdasági Technikum, Szakképző Iskola és Kollégium",4182,"3881 Abaújszánt ó, Kassai út 22-24.",Kecskés János,10646,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
"Északi ASzC Széchenyi István Mg-i és Élelmiszeripari Technikum, Szakképző Iskola és Kollégium",3444,"4220 Hajdúböszö rmény, Radnóti M.u. 3",Kovács Attila Károly,-,,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
ÉSZAKKELET- SPRINT 97 Bt.,3650,"4400 Nyíregyház a, Szabadság tér 12/B.",Nagy Tibor,11008,x,x,x,x,x,,,,x,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
ESZKIMÓ Magyarország Oktatási Zrt.,8977,"1165 Budapest, Újszász u. 45.",Kisné Katona Ágnes,10693,,,,,,,,,,,,,,,,,,,x/új,,x,,,,,,,,,,,,,,,x,,,
e-TECHNIKA Oktatászervező Zrt.,9620,"8800 Nagykanizs a, Erzsébet tér 17.",Kovács Tibor,10792,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,x,,,
"Etl János ev. ""Alba Regia Autósiskola""",4212,"8000 Székesfehé rvár, Tolnai u. 28. 3/8.",Etl János,12249,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROCAR- PARTNER Oktató Szolgáltató Kft.,3685,"4400 Nyíregyház a, Westsik V. út 29.",Lengyel Zoltán Sándor,10859,,x,,x,x,,,,x,x,,,x,,,x,,x,x,,x,x,x,x,x,x,,,x,x,,,,,,x,x,x,
EUROKT- AKADÉMIA Kft,2500,"2500 Esztergom, Bottyán János u. 11.",Keresztesi Sándor Albert,11601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
EXKLUZÍV FELNŐTTKÉPZ Ő Kft.,4244,"9700 Szombathel y, Thököly út 48.",Kelemenn é Neubauer Marianna,11641,,,,,x,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,x,,,
"E-ZERO Autósiskola Kft ""E-ZERO Autósiskola""",4192,"6100 Kiskunféleg yháza, Kossuth Lajos utca 17-19.",Csontos Gyula,11685,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZÜSTNYÍL AUTÓS- MOTOROS Iskola Kft.,7055,"2000 Szentendre, Napos sétány 9. B. ép.",Kondász Ferenc,10736,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"F.M.K. Padsor Kft. ""F.M.K. Padsor Autósiskola""",5734,"3100 Salgótarján, Bajcsy-Zs. út 9.",Gulyás Péter,10460,x,x,,x,x,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,
"FACE TO FACE FOKSZ Felnőttképző, Oktatásszervező Kft.",9619,"8800 Nagykanizs a, Erzsébet tér 17.",Kovács Tibor,10792,x,x,x,x,x,x,,,x,x,x,,x,,,x,,x,,,,x,,,,,,,,,,,,,,x,,,
"FAMAT KAIROSZ Kft. ""Family Autósiskola""",7111,"3300 Eger, Pirittyó u. 19.",Petz Zoltán Gábor,11137,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faragó Kálmán ev. ""Remeczki és Fia Autósiskola""",3883,"5663 Medgyesbo dzás, Széchenyi u. 12.",Góg János,10432,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faragó Zoltán Attila ev.""Centrum Autósiskola""",3582,"2660 Balassagya rmat, Teleki u. 4.",Faragó Zoltán Attila,10332,x,x,x,x,x,x,,,x,x,x,,x,,,,,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,x,x,
Faragó-Tóth Gépjárművezető -képző Kft.,6342,"2800 Tatabánya, Kós K. u. 47. 2/2.",Faragó Gábor,10330,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farkas Árpád ev. ""Farkas Autósiskola""",4359,"2363 Felsőpakon y, Ady Endre u. 56.",Radványi Attila,12332,,,,,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farkas Dömötör István ev ""Jobbfék Autósiskola""",4278,"8073 Csákberény , Kossuth u. 22.",Farkas Dömötör István,12299,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farkas Imre egyéni vállalkozó,3228,"3752 Szendrö, Felszabadul ás u. 33.",Farkas Imre,10339,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
"Farkas István egyéni vállalkozó ""Klub Farkas""",3782,"9700 Szombathel y, Veres Péter u. 8.",Farkas István,10340,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farkas Iván egyéni vállalkozó,4423,"9028 Győr, Jereváni u. 9. 2. em. 3.",Farkas Iván,12428,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farkas László ev.""Autóút Autósiskola""",3155,"5600 Békéscsab a, Wagner u. 65/1.",Farkas László,10343,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farkas Péter Pál ev. ""ATOM- FP Autósiskola""",4019,"7030 Paks, Kosár u. 21/B fsz. 2.",Hornyák József,12116,,x/gya k.,,"x/gy ak,",x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farkas Tünde egyéni vállalkozó,4437,7664 Pereked Fő u 28.-,Simon István,11235,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAVORIT ’98 Bt.,3857,"8800 Nagykanizs a, Sugár u. 8. fszt.",Kovács József,10778,,x,,x,x,x,,,x,x,,,x,,,,,x,,,,x,x,x,,,,,,,,,,,,x,x,x,
FAVORIT Gépjárművezető -képző Szolgáltató Kft.,3729,"5000 Szolnok, Kossuth Lajos út 17- 23.",Barabás László,10086,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazakas Dénes egyéni vállalkozó,144,"2241 Sülysáp, Tápió u. 8.",Fazakas Dénes,10349,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecskovics Attila Mihály egyéni vállalkozó,17,"2143 Kistarcsa, Dobó Katica u. 2.",Fecskovic s Attila Mihály,10353,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL Trust Company Kft.,9979,"1047 Budapest, Attila utca 156-158.",Bolyos László István,10174,,,,,x,,,,,,,,,,,,,x,,,,x,x,x,,,,,,,,,,,,x,,,
Fedur Roland ev. „Gladius Autósiskola”,4038,"8500 Pápa, Gombkötő u. 62.",Fedur Roland,12389,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fehér Autós Iskola Bt.,3670,"4481 Nyíregyház a, Hadobás utca 12.",Nagy Viktor Kálmán,11009,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fehér Sándor ev (Fehér- oktató),3923,"1211 Budapest, Táncsics M. u. 83.",Kapitány Tibor Árpád,11999,,,,,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fekete Felnőttképzési Kft.,9690,"3100 Salgótarján, Bajcsy-Zs. út 9.",Gulyás Péter,10460,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,
"Fekete Zoltán ev ""Mocisuli Autósiskola""",4277,"1213 Budapest, Szent István út 104.",Kovács Győző,10762,x/gya k.,x/gya k.,x/gy ak.,x/gy ak.,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fekete-Ati Korlátolt Felelősségű Társaság,4394,"5600 Békéscsab a, Andrássy út 30. 1. em. 5. ajtó",Fekete Attila,10360,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Féktelenül Autósiskola Kft. ""FÉKTELENÜL AUTÓSISKOLA""",7211,"6000 Kecskemét, Diófa u. 3. 1/5.",Oláh Szabolcs,12091,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,
Fényes Tamás egyéni vállalkozó,71,"2764 Tápióbicske , Damjanich J. u. 83.",Fényes Tamás,10372,x,x,x,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
"Fényharmat Kiadó Bt. ""Bal1 Plusz Autósiskola""",4229,"1034 Budapest, Bécsi út 125. 3. em. 18.",Pető Attila Péter,12293,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FER-DINA Kft. ""EDINA Autósiskola""",9973,"4225 Debrecen, Csonkatoro ny u. 73.",Nagyné Orbán Edina,11657,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferenczi Antal ev. ""RelaxCar Autósiskola""",4121,"2119 Pécel, Maglódi út 135.",Ferenczi Antal,12446,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferku Szabolcs ev. ""Okteszt Autósiskola""",4074,"4400 Nyíregyház a, Család u. 100.",Ferku Szabolcs,10376,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferr-Car Autósiskola Kft.,7601,"2724 Újlengyel, Dózsa Gy. u. 26. (NEM lev. Cím!!)",Szabados Kálmán János,11278,x,x,x,x,x,x,,,x,x,,,x,,,,,x,x,,,x,,,,,,,,,,,,,,x,,,
Fiáker Autósiskola Korlátolt Felelősségű Társaság,4435,"8000 Székesfehé rvár, Selyem utca 1. 4. ajtó",Korponai László Csaba,12343,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Filep Zoltán ev. ""FILEP Autósiskola""",5322,"4244 Újfehértó, Böszörmén yi út 6/A",Filep Zoltán,12071,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Filepné Sztányi Krisztina ev. ""Füzes Autósiskola""",4026,"4244 Újfehértó, Böszörmén yi út 6.",Filep Zoltán,12071,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FINTA László ev. ""FINTA Autós-Motoros Iskola""",9009,"9300 Csorna, Liszt F. u. 7.",Finta László,11997,x,x,x,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
"FIT AND BEAUTY Kft ""FromHome Autós-Motoros Iskola""",4302,"9400 Sopron, Kőszegi út 6.",Szűk Balázs,12139,x,x,x,x,x,x,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Flexi Autósiskola Korlátolt Felelősségű Társaság „Flexi Autósiskola”,4087,"2030 Érd, Enikő u. 1/A V/23.",Ráti Richárd József,12175,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMZ Oktatási Korlátolt Felelősségű Társaság,2621,"2621 Verőce, Gorka köz 5.",Faragó Zoltán Attila,10332,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,x,,,
Fodor Zoltán ev. (ON-LINE Autósiskola),3959,"8200 Veszprém, Alkotmány u. 15. 3/16",Dabis István János,12119,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOKATI Szolgáltató Kft.,7622,"6034 Helvécia, Gyopár u. 6.",Fok Attila,10386,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOKI SULI Autósiskola Kft.,9902,"8600 Siófok, Széchenyi u. 19.",Pump Nándor,11159,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,
"Fókusz Alba Kft. ""Fókusz Autósiskola""",3998,8000 Székesfehé rvár Zámoly u. 86.,Pap Gábor,12061,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FORAL ANETT ev. ""Sprint-plusz Autósiskola""",9240,"7623 Pécs, Szendrey Júlia u. 36.",Foral Anett,10388,,,,x/el m.,x,,,,x/elm .,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,
Foral Dalma ev. „Royal Autósiskola”,4028,"7632 Pécs, Fellbach u. 20.",Foral Dalma,12422,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORAL GROUP Kft.,3019,"7633 Pécs, Szigeti út 67/B fsz.3.",Foral Klára Ágnes,10389,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FORDULAT Kft. ""Fordulat Autósiskola""",6915,"1147 Budapest, Kerékgyártó u. 108.",Hartman Sándor,12181,x,x,x,x,x,x/elm.,,,x/elm .,x/elm.,,,x/el m.,,,,,,,,,,,,,,,,,,,,,,,,,,
FORINTOS Autós-Iskola Kft.,9953,"8400 Ajka, Verseny u. 15. fszt. 2.",Forintos Zsuzsa,12358,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forró Csaba ev. ""Forró Csaba Autósiskola""",3953,"2800 Tatabánya, Réti u. 12.",Szurdoki Gábor,11377,,,,,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Földi Sándor ev ""Földi Sándor E. V. Autósiskola""",4068,"3128 Vizslás, Szabadság út 6.",Földi Sándor,10395,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Földi Tibor ev. „Expressz Autósiskola”,4040,"2800 Tatabánya, Alkotmány u. 40.",Földi Tibor,12185,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FŐÚT Autósiskola Korlátolt Felelősségű Társaság,4027,"2030 Érd, Balatoni út 104.",Szűcs Lajosné,11383,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT-Mobil Autósiskola Bt.,3366,"9200 Mosonmag yaróvár, Kökény utca 9. fszt. 58.",Tamaskov ics Attila,11401,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,x,x,x,,x,,,,,,,x,,,
"FullControl Motoros és Autósiskola Vezetéstechnikai Szolgáltató Kft ""FullControl Motoros és Autósiskola""",4181,"9023 Győr, Herman Ottó utca 14. 1. em. 2.",Válint Attila,12285,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FULLDRIVE Autósiskola Kft. ""FULLDRIVE Autósiskola""",9086,"2613 Rád, Mindszenty u. 43.",Kiss György,11693,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,x,x,,,,,,,,,,,,,,,
Fuvinfo Iroda Kft.,9595,"1106 Budapest, Jászberényi út 24-36. 6.em.610- 612.",Takács Gyula,11388,,,,,,,,,,,,,,,,,,x,x/új,x,x/új,x,x,x,,,,,,,,,,,,x,x,x,
FUVOSZ,9596,"1215 Budapest, Árpád u. 1.",Udvardi Sándor Zoltán,11475,,,,,,,,,,,,,,,,,,x,x,,x,x,x,x,,,,,,,,,,,,,x,x,
"Fügedi József Attila ev. ""FÜGEDI Autósiskola""",498,"1138 Budapest, Újpalotai út 8-10. 5/32.",Fügedi József Attila,10398,,x/gya k,,x/gy ak,x/gya k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fülep István egyéni vállalkozó,3725,"5400 Mezőtúr, Tó utca 12.",Fülep István,10399,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fülöp Imre ev. ""Fülöp Suli Autósiskola""",3878,9082 Nyúl Tavasz u. 46/a.,Kubovics Attila,12158,x/elm .,x/elm .,x/el m.,x/el m.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fülöp Norbert Pál egyéni vállalkozó,4421,"2045 Törökbálint, Kazinczy Ferenc u. 86.",Fülöp Norbert Pálk,12373,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fülöp Suli Autósiskola Kft,4002,"9023 Győr, Tihanyi Árpád út 23.",Kubovics Attila,12158,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Füredi Busz Személyszállító és Szolgáltató Kft,4070,"6000 Kecskemét, Fehérvári utca 11.",Füredi András,10401,x,x,x,x,x,x,,,x,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
Füredi Felnőttképző Kft.,3107,"6000 Kecskemét, Izsáki út 2/A",Füredi András,10401,x,x,x,x,x,x,x,,x,x,x,x,x,,x,x,,x,x,,x,x,x,x,x,x,x,,x,x,,,,,,x,x,x,
Füredi Képző Kft.,7007,"8230 Balatonfüre d, Kossuth u. 3. 100.",Nemes Béla Attila,11014,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,x,,,
"Füredi Tamás ev. ""Füredi Tamás Autósiskola""",3871,"6000 Kecskemét, Csárda u. 10.",Füredi Tamás,10403,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fűrész József egyéni vállalkozó,3338,"7000 Sárbogárd, Ady E. u. 187.",Fűrész József,10404,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Füzes Krisztián Kornél ev,4381,"4320 Nagykálló, Szabadság harcos út 26.",Vezendiné Gulyás Ágnes,10458,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G.P. System Kft. ""KADÉT Autósiskola""",3561,"2890 Tata, Új út 3.",Gerencsér István,10425,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GabiWerzum Kft. ""WGa Autósiskola""",4146,"3700 Kazincbarci ka, Hársfa utca 12.",Wéber Gabriella,11547,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gál Ferenc egyéni vállalkozó,8542,"4400 Nyíregyház a, Fazekas János tér 22.",Gál Ferenc,10411,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gál Ferenc Egyetem Technikum, Szakképző Iskola, Gimnázium és Kollégium",3200,"5630 Békés, Hőzső u. 39.",Várszegi Éva Margit mb igazgató,-------,,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
"Gál Henrik ev. ""Gál Henrik Autósiskola""",3973,"2310 Szigetszent miklós, Akácfa körút 1/1.",Bernát Richárd Norbert,12193,,,,,x/gya k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
